stress_rr,stress_rt,stress_rz,stress_tt,stress_tz,stress_zz,vol
-4.07598,0,9.54821,83.8056,0,-13.1999,32.1651
1.12368,0,10.2268,42.1134,0,-9.08903,32.1651
1.12685,0,9.39927,-0.919841,0,-5.64098,32.1651
0.612262,0,7.34523,-44.2762,0,-2.97339,32.1651
1.41155,0,3.28462,-87.6455,0,-1.31857,32.1651
9.10813,0,3.14474,93.7612,0,1.7807,31.3074
2.77187,0,10.1321,45.9118,0,-1.22805,31.3074
-0.440297,0,11.622,-0.398019,0,-1.85111,31.3074
-3.95893,0,9.58346,-46.5592,0,-1.62297,31.3074
-7.22332,0,4.26052,-92.7585,0,-1.33885,31.3074
18.1201,0,3.83714,98.3652,0,-0.266247,30.4496
8.75863,0,8.88841,49.2247,0,0.230597,30.4496
-0.415364,0,11.1189,-0.0094703,0,-0.352973,30.4496
-8.88374,0,9.57038,-49.0337,0,-0.849432,30.4496
-17.3231,0,4.26676,-98.1265,0,-1.15984,30.4496
27.3485,0,3.88319,103.54,0,0.0318335,29.5919
13.5939,0,8.94825,51.7255,0,-0.215275,29.5919
-0.00264629,0,10.6862,0.0832052,0,-0.430113,29.5919
-13.5439,0,9.10281,-51.5918,0,-0.836071,29.5919
-27.1442,0,3.99982,-103.388,0,-1.16557,29.5919
36.5355,0,3.82013,108.539,0,-0.0586871,28.7295
18.2456,0,8.75273,54.2425,0,-0.249649,28.7295
0.0577897,0,10.4075,0.0584529,0,-0.59592,28.7295
-18.1273,0,8.76078,-54.1242,0,-0.937763,28.7295
-36.4614,0,3.81777,-108.447,0,-1.1854,28.7295
45.5269,0,3.7055,113.439,0,-0.0477636,27.8765
22.7323,0,8.50416,56.6806,0,-0.283131,27.8765
0.0587268,0,10.0979,0.0520554,0,-0.621992,27.8765
-22.6261,0,8.4943,-56.5808,0,-0.966039,27.8765
-45.4418,0,3.69575,-113.343,0,-1.19222,27.8765
54.2535,0,3.58492,118.195,0,-0.0509269,27.0188
27.0907,0,8.24106,59.0582,0,-0.280608,27.0188
0.0518197,0,9.79114,0.0495728,0,-0.624318,27.0188
-26.9893,0,8.2371,-58.9588,0,-0.964641,27.0188
-54.1566,0,3.58211,-118.097,0,-1.19187,27.0188
62.7116,0,3.46594,122.811,0,-0.0497588,26.1567
31.3182,0,7.97983,61.3657,0,-0.279353,26.1567
0.0500182,0,9.48414,0.0498346,0,-0.621274,26.1567
-31.2183,0,7.97938,-61.266,0,-0.962974,26.1567
-62.6113,0,3.46576,-122.711,0,-1.19132,26.1567
70.9038,0,3.34801,127.286,0,-0.0497936,25.3033
35.4144,0,7.72,63.6032,0,-0.278624,25.3033
0.0498708,0,9.17741,0.0499825,0,-0.620528,25.3033
-35.3144,0,7.72015,-63.5031,0,-0.962331,25.3033
-70.8035,0,3.34818,-127.186,0,-1.19123,25.3033
78.832,0,3.23016,131.621,0,-0.0497521,24.4455
39.3786,0,7.46061,65.7706,0,-0.278612,24.4455
0.0499889,0,8.8708,0.05004,0,-0.620431,24.4455
-39.2786,0,7.46069,-65.6705,0,-0.962302,24.4455
-78.7318,0,3.23022,-131.52,0,-1.19122,24.4455
86.4966,0,3.11211,135.816,0,-0.0497701,23.5878
43.2111,0,7.2013,67.8681,0,-0.27864,23.5878
0.0500323,0,8.56437,0.0500399,0,-0.62048,23.5878
-43.111,0,7.20131,-67.7681,0,-0.962329,23.5878
-86.3966,0,3.11212,-135.716,0,-1.19123,23.5878
93.8981,0,2.99386,139.872,0,-0.0497726,22.73
46.9119,0,6.94206,69.8962,0,-0.278657,22.73
0.0500386,0,8.25812,0.0500371,0,-0.620498,22.73
-46.8119,0,6.94206,-69.7961,0,-0.962341,22.73
-93.7981,0,2.99386,-139.772,0,-1.19123,22.73
101.037,0,2.87539,143.79,0,-0.0497751,21.8723
50.4814,0,6.68291,71.8548,0,-0.278661,21.8723
0.0500368,0,7.95209,0.0500357,0,-0.620501,21.8723
-50.3813,0,6.68291,-71.7548,0,-0.962341,21.8723
-100.937,0,2.87539,-143.69,0,-1.19123,21.8723
107.913,0,2.75669,147.569,0,-0.0497767,21.0145
53.9197,0,6.42389,73.7444,0,-0.278663,21.0145
0.0500359,0,7.64629,0.0500356,0,-0.6205,21.0145
-53.8197,0,6.42389,-73.6443,0,-0.962338,21.0145
-107.813,0,2.75669,-147.469,0,-1.19122,21.0145
114.528,0,2.63773,151.211,0,-0.0497787,20.1536
57.2272,0,6.16501,75.565,0,-0.278665,20.1536
0.0500357,0,7.34077,0.0500357,0,-0.6205,20.1536
-57.1271,0,6.16501,-75.465,0,-0.962335,20.1536
-114.428,0,2.63773,-151.111,0,-1.19122,20.1536
120.881,0,2.51846,154.715,0,-0.049781,19.2991
60.4041,0,5.90627,77.3172,0,-0.278669,19.2991
0.0500357,0,7.03554,0.0500357,0,-0.6205,19.2991
-60.3041,0,5.90627,-77.2171,0,-0.962331,19.2991
-120.781,0,2.51846,-154.615,0,-1.19122,19.2991
126.974,0,2.39886,158.083,0,-0.0497837,18.4414
63.4508,0,5.64771,79.0011,0,-0.278673,18.4414
0.0500357,0,6.73067,0.0500357,0,-0.6205,18.4414
-63.3508,0,5.64771,-78.901,0,-0.962327,18.4414
-126.874,0,2.39886,-157.983,0,-1.19122,18.4414
132.808,0,2.27887,161.316,0,-0.0497868,17.5836
66.3677,0,5.38936,80.6172,0,-0.278677,17.5836
0.0500357,0,6.42619,0.0500357,0,-0.6205,17.5836
-66.2676,0,5.38936,-80.5171,0,-0.962323,17.5836
-132.708,0,2.27887,-161.216,0,-1.19121,17.5836
138.382,0,2.15842,164.414,0,-0.0497904,16.7259
69.1552,0,5.13123,82.166,0,-0.278682,16.7259
0.0500357,0,6.12217,0.0500357,0,-0.6205,16.7259
-69.0551,0,5.13123,-82.0659,0,-0.962318,16.7259
-138.282,0,2.15842,-164.314,0,-1.19121,16.7259
143.699,0,2.03744,167.379,0,-0.0497946,15.8681
71.8139,0,4.87338,83.6479,0,-0.278688,15.8681
0.0500357,0,5.81869,0.0500357,0,-0.6205,15.8681
-71.7138,0,4.87338,-83.5478,0,-0.962312,15.8681
-143.599,0,2.03744,-167.278,0,-1.19121,15.8681
148.759,0,1.91585,170.211,0,-0.0497995,15.0104
74.3443,0,4.61584,85.0636,0,-0.278695,15.0104
0.0500357,0,5.51584,0.0500357,0,-0.6205,15.0104
-74.2443,0,4.61584,-84.9635,0,-0.962305,15.0104
-148.659,0,1.91585,-170.111,0,-1.1912,15.0104
153.564,0,1.79353,172.912,0,-0.0498053,14.1526
76.7473,0,4.35868,86.4138,0,-0.278704,14.1526
0.0500357,0,5.21373,0.0500357,0,-0.6205,14.1526
-76.6472,0,4.35868,-86.3138,0,-0.962296,14.1526
-153.464,0,1.79353,-172.812,0,-1.19119,14.1526
158.116,0,1.67034,175.484,0,-0.0498123,13.2949
79.0237,0,4.10197,87.6994,0,-0.278714,13.2949
0.0500357,0,4.91251,0.0500357,0,-0.6205,13.2949
-78.9236,0,4.10197,-87.5993,0,-0.962286,13.2949
-158.016,0,1.67034,-175.384,0,-1.19119,13.2949
162.416,0,1.54609,177.929,0,-0.0498208,12.437
81.1744,0,3.8458,88.9214,0,-0.278727,12.437
0.0500357,0,4.61237,0.0500357,0,-0.6205,12.437
-81.0744,0,3.8458,-88.8213,0,-0.962273,12.437
-162.316,0,1.54609,-177.829,0,-1.19118,12.437
166.468,0,1.42054,180.25,0,-0.0498313,11.5793
83.2009,0,3.59029,90.081,0,-0.278743,11.5793
0.0500357,0,4.31354,0.0500357,0,-0.6205,11.5793
-83.1009,0,3.59029,-89.9809,0,-0.962257,11.5793
-166.368,0,1.42054,-180.15,0,-1.19117,11.5793
170.274,0,1.2934,182.449,0,-0.0498444,10.7215
85.1047,0,3.3356,91.1798,0,-0.278764,10.7215
0.0500357,0,4.01634,0.0500357,0,-0.6205,10.7215
-85.0046,0,3.3356,-91.0797,0,-0.962236,10.7215
-170.174,0,1.2934,-182.349,0,-1.19116,10.7215
173.837,0,1.16422,184.531,0,-0.049861,9.8638
86.8878,0,3.08196,92.2196,0,-0.27879,9.8638
0.0500357,0,3.72121,0.0500357,0,-0.6205,9.8638
-86.7877,0,3.08196,-92.1196,0,-0.96221,9.8638
-173.737,0,1.16422,-184.431,0,-1.19114,9.8638
177.164,0,1.03243,186.501,0,-0.0498825,9.0061
88.5526,0,2.82966,93.203,0,-0.278826,9.0061
0.0500357,0,3.42875,0.0500357,0,-0.6205,9.0061
-88.4526,0,2.82966,-93.103,0,-0.962174,9.0061
-177.064,0,1.03243,-186.401,0,-1.19112,9.0061
180.26,0,0.897189,188.365,0,-0.0499114,8.1485
90.1027,0,2.57913,94.1331,0,-0.278876,8.1485
0.0500357,0,3.13979,0.0500357,0,-0.6205,8.1485
-90.0026,0,2.57913,-94.033,0,-0.962124,8.1485
-180.16,0,0.897189,-188.265,0,-1.19109,8.1485
183.134,0,0.757266,190.132,0,-0.0499503,7.2908
91.5423,0,2.33101,95.0139,0,-0.278948,7.2908
0.0500357,0,2.8556,0.0500357,0,-0.6205,7.2908
-91.4423,0,2.33101,-94.9139,0,-0.962052,7.2908
-183.034,0,0.757266,-190.032,0,-1.19105,7.2908
185.797,0,0.610763,191.815,0,-0.0500084,6.433
92.8779,0,2.08626,95.8513,0,-0.279055,6.433
0.0500357,0,2.57811,0.0500357,0,-0.6205,6.433
-92.7779,0,2.08626,-95.7513,0,-0.961945,6.433
-185.697,0,0.610763,-191.715,0,-1.19099,6.433
188.266,0,0.454595,193.431,0,-0.0500862,5.5753
94.1186,0,1.84647,96.6532,0,-0.279255,5.5753
0.0500357,0,2.31046,0.0500357,0,-0.6205,5.5753
-94.0186,0,1.84647,-96.5532,0,-0.961745,5.5753
-188.166,0,0.454595,-193.331,0,-1.19091,5.5753
190.567,0,0.283357,195.006,0,-0.0502961,4.7175
95.2786,0,1.61443,97.4314,0,-0.279544,4.7175
0.0500357,0,2.05811,0.0500357,0,-0.6205,4.7175
-95.1786,0,1.61443,-97.3314,0,-0.961456,4.7175
-190.467,0,0.283357,-194.906,0,-1.1907,4.7175
192.74,0,0.0873664,196.585,0,-0.0497385,3.8598
96.3811,0,1.39509,98.204,0,-0.279578,3.8598
0.0500357,0,1.83095,0.0500357,0,-0.6205,3.8598
-96.281,0,1.39509,-98.1039,0,-0.961422,3.8598
-192.639,0,0.0873664,-196.485,0,-1.19126,3.8598
194.855,0,-0.155111,198.243,0,-0.0533515,3.0021
97.468,0,1.20059,98.9994,0,-0.281309,3.0021
0.0500357,0,1.64916,0.0500357,0,-0.6205,3.0021
-97.3679,0,1.20059,-98.8994,0,-0.959691,3.0021
-194.755,0,-0.155111,-198.143,0,-1.18765,3.0021
197.048,0,-0.527525,200.14,0,-0.0573493,2.1443
98.6709,0,1.05767,99.8498,0,-0.341533,2.1443
0.0500357,0,1.62855,0.0500357,0,-0.6205,2.1443
-98.5708,0,1.05767,-99.7497,0,-0.899467,2.1443
-196.948,0,-0.527525,-200.04,0,-1.18365,2.1443
199.674,0,-1.22086,202.719,0,-0.0397105,1.2866
100.373,0,1.17758,100.899,0,0.0219817,1.2866
0.0500357,0,1.7376,0.0500357,0,-0.6205,1.2866
-100.273,0,1.17758,-100.799,0,-1.26298,1.2866
-199.574,0,-1.22086,-202.619,0,-1.20129,1.2866
206.743,0,-1.17372,206.743,0,1.37444,0.4289
101.84,0,0.935787,101.84,0,1.00572,0.4289
0.0500357,0,1.18345,0.0500357,0,-0.6205,0.4289
-101.74,0,0.935787,-101.74,0,-2.24672,0.4289
-206.643,0,-1.17372,-206.643,0,-2.61544,0.4289
-0.227036,0,-0.116592,77.6257,0,0.119541,34.6077846719452
-0.380195,0,0.170438,38.8773,0,0.0768518,34.6077846719452
-0.0655029,0,0.167362,0.300245,0,0.225018,34.6077846719452
0.318153,0,0.00517228,-38.3094,0,0.179887,34.6077846719452
0.33817,0,-0.22638,-77.0546,0,-0.0170706,34.6077846719452
-1.79212,0,0.201458,79.5324,0,-0.163225,33.7934838561346
-1.22121,0,0.408676,39.9849,0,0.558654,33.7934838561346
-0.504974,0,-0.0351683,0.217313,0,0.267996,33.7934838561346
0.943002,0,-0.304209,-39.3561,0,0.0665782,33.7934838561345
2.52228,0,-0.270756,-78.8667,0,0.00189775,33.7934838561346
-2.95086,0,0.985986,82.252,0,1.71986,32.9791830403243
-3.26534,0,-0.546027,40.368,0,-1.03769,32.9791830403243
-0.586548,0,-0.226866,-0.174687,0,-1.28759,32.9791830403243
1.84946,0,-0.0296273,-40.5727,0,-0.662571,32.9791830403243
4.86489,0,-0.183466,-80.8484,0,-0.0783792,32.9791830403243
-8.14955,0,-5.38645,79.938,0,-13.1681,32.1648822245138
-0.943743,0,-0.489076,40.288,0,-8.98361,32.1648822245138
1.01015,0,2.23134,-0.820063,0,-5.37714,32.1648822245138
2.47791,0,2.54095,-42.2392,0,-2.51071,32.1648822245138
5.542,0,1.10324,-83.5482,0,-0.629475,32.1648822245138
