Block Name,Cell ID,Cell Type,ids,object_id,stress_rr,stress_rz,stress_tt,stress_zz
block_1,0,9,1,1,-4.07598,9.54821,83.8056,-13.1999
block_1,1,9,2,1,1.12368,10.2268,42.1134,-9.08903
block_1,2,9,3,1,1.12685,9.39927,-0.919841,-5.64098
block_1,3,9,4,1,0.612262,7.34523,-44.2762,-2.97339
block_1,4,9,5,1,1.41155,3.28462,-87.6455,-1.31857
block_1,5,9,6,1,9.10813,3.14474,93.7612,1.7807
block_1,6,9,7,1,2.77187,10.1321,45.9118,-1.22805
block_1,7,9,8,1,-0.440297,11.622,-0.398019,-1.85111
block_1,8,9,9,1,-3.95893,9.58346,-46.5592,-1.62297
block_1,9,9,10,1,-7.22332,4.26052,-92.7585,-1.33885
block_1,10,9,11,1,18.1201,3.83714,98.3652,-0.266247
block_1,11,9,12,1,8.75863,8.88841,49.2247,0.230597
block_1,12,9,13,1,-0.415364,11.1189,-0.0094703,-0.352973
block_1,13,9,14,1,-8.88374,9.57038,-49.0337,-0.849432
block_1,14,9,15,1,-17.3231,4.26676,-98.1265,-1.15984
block_1,15,9,16,1,27.3485,3.88319,103.54,0.0318335
block_1,16,9,17,1,13.5939,8.94825,51.7255,-0.215275
block_1,17,9,18,1,-0.00264629,10.6862,0.0832052,-0.430113
block_1,18,9,19,1,-13.5439,9.10281,-51.5918,-0.836071
block_1,19,9,20,1,-27.1442,3.99982,-103.388,-1.16557
block_1,20,9,21,1,36.5355,3.82013,108.539,-0.0586871
block_1,21,9,22,1,18.2456,8.75273,54.2425,-0.249649
block_1,22,9,23,1,0.0577897,10.4075,0.0584529,-0.59592
block_1,23,9,24,1,-18.1273,8.76078,-54.1242,-0.937763
block_1,24,9,25,1,-36.4614,3.81777,-108.447,-1.1854
block_1,25,9,26,1,45.5269,3.7055,113.439,-0.0477636
block_1,26,9,27,1,22.7323,8.50416,56.6806,-0.283131
block_1,27,9,28,1,0.0587268,10.0979,0.0520554,-0.621992
block_1,28,9,29,1,-22.6261,8.4943,-56.5808,-0.966039
block_1,29,9,30,1,-45.4418,3.69575,-113.343,-1.19222
block_1,30,9,31,1,54.2535,3.58492,118.195,-0.0509269
block_1,31,9,32,1,27.0907,8.24106,59.0582,-0.280608
block_1,32,9,33,1,0.0518197,9.79114,0.0495728,-0.624318
block_1,33,9,34,1,-26.9893,8.2371,-58.9588,-0.964641
block_1,34,9,35,1,-54.1566,3.58211,-118.097,-1.19187
block_1,35,9,36,1,62.7116,3.46594,122.811,-0.0497588
block_1,36,9,37,1,31.3182,7.97983,61.3657,-0.279353
block_1,37,9,38,1,0.0500182,9.48414,0.0498346,-0.621274
block_1,38,9,39,1,-31.2183,7.97938,-61.266,-0.962974
block_1,39,9,40,1,-62.6113,3.46576,-122.711,-1.19132
block_1,40,9,41,1,70.9038,3.34801,127.286,-0.0497936
block_1,41,9,42,1,35.4144,7.72,63.6032,-0.278624
block_1,42,9,43,1,0.0498708,9.17741,0.0499825,-0.620528
block_1,43,9,44,1,-35.3144,7.72015,-63.5031,-0.962331
block_1,44,9,45,1,-70.8035,3.34818,-127.186,-1.19123
block_1,45,9,46,1,78.832,3.23016,131.621,-0.0497521
block_1,46,9,47,1,39.3786,7.46061,65.7706,-0.278612
block_1,47,9,48,1,0.0499889,8.8708,0.05004,-0.620431
block_1,48,9,49,1,-39.2786,7.46069,-65.6705,-0.962302
block_1,49,9,50,1,-78.7318,3.23022,-131.52,-1.19122
block_1,50,9,51,1,86.4966,3.11211,135.816,-0.0497701
block_1,51,9,52,1,43.2111,7.2013,67.8681,-0.27864
block_1,52,9,53,1,0.0500323,8.56437,0.0500399,-0.62048
block_1,53,9,54,1,-43.111,7.20131,-67.7681,-0.962329
block_1,54,9,55,1,-86.3966,3.11212,-135.716,-1.19123
block_1,55,9,56,1,93.8981,2.99386,139.872,-0.0497726
block_1,56,9,57,1,46.9119,6.94206,69.8962,-0.278657
block_1,57,9,58,1,0.0500386,8.25812,0.0500371,-0.620498
block_1,58,9,59,1,-46.8119,6.94206,-69.7961,-0.962341
block_1,59,9,60,1,-93.7981,2.99386,-139.772,-1.19123
block_1,60,9,61,1,101.037,2.87539,143.79,-0.0497751
block_1,61,9,62,1,50.4814,6.68291,71.8548,-0.278661
block_1,62,9,63,1,0.0500368,7.95209,0.0500357,-0.620501
block_1,63,9,64,1,-50.3813,6.68291,-71.7548,-0.962341
block_1,64,9,65,1,-100.937,2.87539,-143.69,-1.19123
block_1,65,9,66,1,107.913,2.75669,147.569,-0.0497767
block_1,66,9,67,1,53.9197,6.42389,73.7444,-0.278663
block_1,67,9,68,1,0.0500359,7.64629,0.0500356,-0.6205
block_1,68,9,69,1,-53.8197,6.42389,-73.6443,-0.962338
block_1,69,9,70,1,-107.813,2.75669,-147.469,-1.19122
block_1,70,9,71,1,114.528,2.63773,151.211,-0.0497787
block_1,71,9,72,1,57.2272,6.16501,75.565,-0.278665
block_1,72,9,73,1,0.0500357,7.34077,0.0500357,-0.6205
block_1,73,9,74,1,-57.1271,6.16501,-75.465,-0.962335
block_1,74,9,75,1,-114.428,2.63773,-151.111,-1.19122
block_1,75,9,76,1,120.881,2.51846,154.715,-0.049781
block_1,76,9,77,1,60.4041,5.90627,77.3172,-0.278669
block_1,77,9,78,1,0.0500357,7.03554,0.0500357,-0.6205
block_1,78,9,79,1,-60.3041,5.90627,-77.2171,-0.962331
block_1,79,9,80,1,-120.781,2.51846,-154.615,-1.19122
block_1,80,9,81,1,126.974,2.39886,158.083,-0.0497837
block_1,81,9,82,1,63.4508,5.64771,79.0011,-0.278673
block_1,82,9,83,1,0.0500357,6.73067,0.0500357,-0.6205
block_1,83,9,84,1,-63.3508,5.64771,-78.901,-0.962327
block_1,84,9,85,1,-126.874,2.39886,-157.983,-1.19122
block_1,85,9,86,1,132.808,2.27887,161.316,-0.0497868
block_1,86,9,87,1,66.3677,5.38936,80.6172,-0.278677
block_1,87,9,88,1,0.0500357,6.42619,0.0500357,-0.6205
block_1,88,9,89,1,-66.2676,5.38936,-80.5171,-0.962323
block_1,89,9,90,1,-132.708,2.27887,-161.216,-1.19121
