Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ids,object_id,stress_rr,stress_rz,stress_rt,stress_tt,stress_zz,stress_tz,r0,r1,t0,t1,vol
block_1,0,0,9,6,1,-60.8702,9.50129,0,-12.0367,-19.0646,0,20.8,23.4,0,0.36,129.971457990194
block_1,7,7,9,13,1,-0.500317,9.33674,0,0.302046,1.07568,0,20.8,23.4,0.36,0.72,129.971457990194
block_1,1,1,9,7,1,-29.0908,9.00927,0,-6.78479,-14.424,0,20.8,23.4,0.72,1.08,129.971457990194
block_1,8,8,9,14,1,18.23,8.59395,0,-2.7938,-0.406005,0,20.8,23.4,1.08,1.44,129.971457990194
block_1,2,2,9,8,1,0.653155,7.87694,0,-1.83204,-9.14001,0,20.8,23.4,1.44,1.8,129.971457990194
block_1,6,6,9,12,1,-18.7101,7.47544,0,3.60627,2.81518,0,,,,,
block_1,12,12,9,18,1,0.277531,7.28187,0,0.0805051,-0.804519,0,,,,,
block_1,11,11,9,17,1,-7.77435,6.69523,0,8.93346,-0.749052,0,,,,,
block_1,3,3,9,9,1,29.8151,6.61557,0,2.95565,-3.95678,0,,,,,
block_1,17,17,9,23,1,-0.00480258,6.50769,0,0.0305111,-0.654781,0,,,,,
block_1,13,13,9,19,1,8.14478,6.40052,0,-8.87023,-1.04121,0,,,,,
block_1,18,18,9,24,1,-0.782255,5.75545,0,-14.2724,-1.01226,0,,,,,
block_1,16,16,9,22,1,0.815301,5.7129,0,14.3656,-0.217783,0,,,,,
block_1,22,22,9,28,1,0.0723053,5.37002,0,0.0698429,-0.590987,0,,,,,
block_1,9,9,9,15,1,36.6681,5.27342,0,-6.01747,-1.76453,0,,,,,
block_1,4,4,9,10,1,59.8853,5.13267,0,7.74372,0.429571,0,,,,,
block_1,10,10,9,16,1,-16.3722,4.79188,0,17.5913,-1.1696,0,,,,,
block_1,23,23,9,29,1,-8.62307,4.70733,0,-19.236,-0.974483,0,,,,,
block_1,21,21,9,27,1,8.76359,4.70132,0,19.3679,-0.2339,0,,,,,
block_1,27,27,9,33,1,0.0564409,4.40409,0,0.0549497,-0.632224,0,,,,,
block_1,14,14,9,20,1,16.0137,4.01697,0,-17.8757,-1.1949,0,,,,,
block_1,26,26,9,32,1,15.6087,3.79033,0,24.05,-0.25447,0,,,,,
block_1,28,28,9,34,1,-15.4982,3.78266,0,-23.9391,-1.00321,0,,,,,
block_1,19,19,9,25,1,-1.6389,3.47562,0,-28.6662,-1.32219,0,,,,,
block_1,37,37,9,43,1,0.0586857,3.43395,0,0.0582877,-0.621398,0,,,,,
block_1,32,32,9,38,1,0.0581068,3.42065,0,0.0590767,-0.616948,0,,,,,
block_1,15,15,9,21,1,1.90413,3.26388,0,28.895,0.371408,0,,,,,
block_1,5,5,9,11,1,-35.4058,2.98066,0,7.49554,4.93283,0,,,,,
block_1,33,33,9,39,1,-21.6259,2.83857,0,-28.6955,-0.975398,0,,,,,
block_1,31,31,9,37,1,21.7441,2.83466,0,28.814,-0.259583,0,,,,,
block_1,42,42,9,48,1,0.0582006,2.78865,0,0.0582006,-0.620266,0,,,,,
block_1,20,20,9,26,1,17.4442,2.75981,0,38.7157,-0.0171747,0,,,,,
block_1,24,24,9,30,1,-17.366,2.71075,0,-38.6287,-1.30034,0,,,,,
block_1,36,36,9,42,1,28.4988,2.42698,0,34.5412,-0.49601,0,,,,,
block_1,38,38,9,44,1,-28.3825,2.42533,0,-34.425,-0.746899,0,,,,,
block_1,29,29,9,35,1,-31.0601,1.91201,0,-48.0198,-1.28145,0,,,,,
block_1,25,25,9,31,1,31.1851,1.90247,0,48.144,0.0611473,0,,,,,
block_1,43,43,9,49,1,-42.0191,1.73795,0,-42.0191,-2.38038,0,,,,,
block_1,41,41,9,47,1,42.136,1.73689,0,42.136,1.14005,0,,,,,
block_1,30,30,9,36,1,43.5463,1.1302,0,57.7463,0.143656,0,,,,,
block_1,34,34,9,40,1,-43.4308,1.12878,0,-57.6314,-1.39045,0,,,,,
block_1,39,39,9,45,1,-56.1219,-0.657557,0,-69.1253,-0.669931,0,,,,,
block_1,35,35,9,41,1,56.2386,-0.657653,0,69.2424,-0.569373,0,,,,,
block_1,44,44,9,50,1,-85.2879,-1.63792,0,-85.2879,-3.64562,0,,,,,
block_1,40,40,9,46,1,85.4047,-1.63797,0,85.4047,2.40403,0,,,,,
,,,,,,,,,,,,,,,,
block_2,4,,9,5,2,34.1764,-13.7689,0,6.35583,-1.03033,0,,,,,
block_2,0,,9,1,2,-37.1935,-16.5264,0,-4.55867,9.10362,0,,,,,
block_2,3,,9,4,2,16.7962,-20.1942,0,3.71986,1.30504,0,,,,,
block_2,1,,9,2,2,-15.8775,-21.7657,0,-0.679484,6.87702,0,,,,,
block_2,2,,9,3,2,1.04173,-22.8329,0,1.70627,4.10472,0,,,,,
